sba_borrower_name,sba_city,sba_zip,candidate_business_name,candidate_city,match_score,sba_loan_id,business_id
VETERINARY EMERGENCY & SPECIAL,Brentwood,3833,VETERINARY EMERGENCY & SURGERY HOSPITAL,"175 NH-125, Brentwood, NH 03833, USA",81.16,e5adf139-4463-5492-9d2a-61eb8120925b,4f1d0879-c821-477b-bd96-a8dad2996a43
Quabbin Valley Dental,Athol,1331,QUABBIN VALLEY HEALTHCARE,"821 Daniel Shays Hwy, Athol, MA 01331, USA",78.26,329a85e1-b89a-5717-a7ad-d76077c439ab,3f6472d1-cdbc-4c84-a022-e59c55389c45
Kautilya Plainfield Hotel LLC,PLAINFIELD,6374,"EAST PLAINFIELD AUTOMOTIVE, LLC","235 NH-120, Plainfield, NH 03781, USA",70.0,7b8f7035-0916-5a15-88d8-751a493dca74,ef71710f-ddc0-4b03-93c7-f5b0efe2cd23
Kautilya Plainfield Hotel LLC,PLAINFIELD,6374,"EAST PLAINFIELD AUTOMOTIVE, LLC","235 NH-120, Plainfield, NH 03781, USA",70.0,6319cd54-65b7-52f1-9793-b20d56f45957,ef71710f-ddc0-4b03-93c7-f5b0efe2cd23
PITTSFIELD RYE INC,Pittsfield,1201,PITTSFIELD VETERINARY CLINIC,"280 Dowboro Rd, Pittsfield, NH 03263, USA",73.91,beddd6de-70a8-564c-86e5-e894834eb382,c54577c4-4ec7-4450-8ea3-1a25e249673d
Trian Fitness LLC,Nashua,3063,PLANET FITNESS,"150 Coliseum Ave, Nashua, NH 03063, USA",70.97,96ba536a-76b0-526f-a29e-ebc1998807dd,b91dc569-0748-48c7-bc5b-48319387f3a6
Bristol Travel Inc,Bristol,6010,BRISTOL HOSPITAL,"41 Brewster Rd, Bristol, CT 06010, USA",70.59,2ff71a24-60be-53b2-8eff-5961a8774ce2,7b5c92fc-3489-4537-b6a0-24ea7baa2799
KIDS JUNCTION INC (OC),BARRINGTON,2806,KIDS JUNCTION,"406 Maple Ave, Barrington, RI 02806, USA",74.29,4a8980aa-3def-5b2e-a640-f20a4563fadc,e592e1ba-f520-486f-b642-026ab882460e
WKP Construction LLC,NEWPORT,2840,RMC CONSTRUCTION,"1413 Pine Hill Rd, Newport, VT 05855, USA",77.78,5896c9f3-5c71-5aab-8777-09b35b22f593,c2b52366-c505-4fca-800f-5da89a540024
Belmont General Store,Belmont,5730,BELMONT SELF STORAGE,"393 Laconia Rd, Belmont, NH 03220, USA",78.05,a6b495b4-9e3f-59bc-b433-b614be17793f,6e85bb47-cdc7-4f56-81fb-bd38c59c07b0
BARKLEY TRANSPORTATION INC.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",75.0,b9193bcd-e11a-5e89-af18-e1a95fe2243c,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
BARKLEY TRANSPORTATION INC.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",75.0,f0bad38d-b9a8-5292-a335-64c76824f3b2,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
FOUR ELEMENTS HAIR SALON & SPA INC,WESTPORT,2790,FOUR ELEMENTS SALON & SPA,"632 State Rd, Westport, MA 02790, USA",84.75,4659a0a9-9743-5a09-a0c6-459ee7cb04bf,39fe1113-43bb-4398-82c9-4acf64c24b98
Cannings Service Center Inc.,EAST SANDWICH,2537,GULF  CANNING'S SERVICE CENTER,"491 MA-6A, East Sandwich, MA 02537, USA",81.36,b5812883-d108-5516-aa29-467f3517e4a4,783207ab-67d2-40a6-9f12-0153943ae8bd
J. H. LANDSCAPING AND CONSTRUCTION INC.,SWANSEA,2777,J H LANDSCAPING & CONSTRUCTION,"1102 Sharps Lot Rd, Swansea, MA 02777, USA",84.06,aa021d6d-287f-500e-b6fa-57708f00c75d,328b6b33-e48c-4431-a250-c48f613f92be
OSTERVILLE MARKET PARTNERS INC.,Osterville,2655,OSTERVILLE PRIMARY CARE,"770 Main St, Osterville, MA 02655, USA",70.37,edbbd611-e5fd-5bf2-9073-34a1c5e53eca,f2a041ec-e60b-439e-8ddd-4a178966bb2a
CANDLEWOOD VALLEY MOTORS LLC,NEW MILFORD,6776,CANDLEWOOD VALLEY COUNTRY CLUB,"401 Danbury Rd, New Milford, CT 06776, USA",79.31,03ed2a4c-4dfa-53ad-863d-441fb20eb2de,b295ca2c-72e5-4837-8c01-beacc48316df
Waterville Estates Realty Acquisition LLC,CAMPTON,3223,WATERVILLE ESTATES REALTY,"548 Winterbrook Rd, Campton, NH 03223, USA",75.76,d5e07c84-5618-5bf9-a814-e1dd097a2456,21ea7511-204e-4595-af67-6e8b24112f5c
Aadmi Consulting LLC,Cambridge,2140,SPEX CONSULTING LLC,"82 Pease Rd, Cambridge, ME 04923, USA",71.79,d0afb2c0-44a9-597c-bb91-0593bb4ca0d4,2ada50b4-824b-4f80-be3f-530bae680abd
COLLINSVILLE AUTO REPAIR LLC,COLLINSVILLE,6022,COLLINSVILLE REPAIR,"985 Collinsville Rd, Craftsbury, VT 05826, USA",80.85,df4e990b-f825-5124-8a53-bbb57ffeeb73,6d087d75-1d34-4219-9fa4-0964f6c03cdf
DB LANDSCAPE LLC,Wolcott,6716,R.C. LANDSCAPES,"1019 Baldwin Brook Rd, Wolcott, VT 05680, USA",70.97,1f031737-f817-5d53-adcd-6552cc6780de,8ce0108f-e8bf-4198-8ebc-994f7497bf00
EPC Corporation,Middleboro,2346,FEENEY CORPORATION,"426 Wareham St, Middleborough, MA 02346, USA",78.79,088e18c8-f8b6-5dc9-86f7-c3aa9f99ff59,73cf19e4-b441-40d6-9ddd-d54768ce4594
Modern Living LLC,WESTON,6883,"MODERN HEALING, LLC","205 Old Tavern Rd, Weston, VT 05161, USA",83.33,207da2c0-3bd8-554a-99c4-e7181dfe043f,694eadb7-aa9b-4d30-95d1-5212d8dc2f19
TK Property Services LLC,WEST HARTFORD,6107,WHITCOMB PROPERTY SERVICES,"4802 Quechee West Hartford Rd, White River Junction, VT 05001, USA",76.0,34278f95-d542-5203-8a50-3dbf3fa6cace,44945ca0-f04a-4eb5-a119-3fbde6e8ecad
A.C. Parsons Landscaping & Garden Center,Bernard,4612,A C PARSONS LANDSCAPING,"71 Richtown Rd, Bernard, ME 04612, USA",73.02,6cbd5cc3-def7-54b1-b5b3-511021a217c5,964cd387-6416-4e35-8778-59c9f0ffb884
HUB RESTORATION LLC,Braintree,2184,BLACK SASH RESTORATION LLC,"515 Menard Rd, Braintree, VT 05060, USA",75.56,5a1fc0d7-8965-586e-90ef-d971bc526610,bf42b210-f022-4d47-808f-513e40c0daab
Nelson Enterprises LLC,Portsmouth,3801,"REP ENTERPRISES, LLC","747 Portsmouth Ave, Greenland, NH 03840, USA",80.95,918b3560-475f-58bb-9007-c802cc0f4c77,7adbf78e-66d8-467b-ad55-915377f1a354
The Builders,ORLAND,4472,ORCUTT BUILDERS,"1172 Bald Mountain Rd, Orland, ME 04472, USA",74.07,9e608355-2275-5596-a328-4791187cc396,701a84ad-7f26-4f11-b29f-7184034aa8e3
Revolution Energy LLC,Dover,3820,REVISION ENERGY,"1980 Turnpike St Ste 2, North Andover, MA 01845, USA",72.22,92404642-1e39-595f-8bbd-8a42c31f7d73,e9822c24-5952-4ec4-a0b2-9251d437147e
F.A.S. Trucking Inc.,EAST WALLINGFORD,5742,F.A.S. TRUCKING & LANDSCAPING,"151 Maranville Rd, East Wallingford, VT 05742, USA",73.47,87530cce-639b-5eac-a25c-e11e4fb6edb6,eb43d331-cef8-436e-b464-690459fd62e7
Mansfield Martial Arts Inc,Mansfield,2048,MANSFIELD AUTO PARTS INC,"214 Stafford Rd, Mansfield Center, CT 06250, USA",80.0,5b3b7ed0-e3d0-5e10-8cb6-ff650af4fdd2,21e2d976-409a-435e-b2e9-10412132d9d4
Barrows Contracting Incorporated,UPTON,1568,BARROWS CONTRACTING INC.,"37 North St, Upton, MA 01568, USA",82.14,c69a68c9-f970-5463-bd74-d78f3f69748c,22eff3f9-0a1a-43da-b8d4-ca99e4fd8735
Ventech Industries Inc,ELIOT,3903,"PIKE INDUSTRIES, INC.","1080 Dow Hwy A, Eliot, ME 03903, USA",74.42,c9401108-5e0a-54ad-92be-696e9ab1a48a,7cd2b8a3-0e98-4720-bafb-1a50f0a76535
ELECTRIC POWER SYSTEMS JL INC.,GARLAND,4939,ELECTRIC POWER SYSTEMS,"417 Jones Rd, Garland, ME 04939, USA",84.62,e1679676-3b25-5124-b8e9-57bf9418f74e,df3f1287-ac02-411c-9317-9e3de9395ede
Wellman Paving Inc.,Winterport,4496,WELLMAN PAVING,"89 Goshen Rd, Winterport, ME 04496, USA",84.85,67853c39-b814-555e-aab1-66bc9c5776c5,3d23dfae-a274-47e6-9126-0e8a4937e4ab
Rare Drive Inc.,EAST KINGSTON,3827,RARE DRIVE,"10 N Rd, East Kingston, NH 03827, USA",80.0,99c1b783-6395-5d70-b5ec-1cb725559ed9,e97b1342-1d24-456d-a971-5f5a5f9f5678
BARKLEY TRANSPORTATION INC.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",75.0,42bf9d57-3721-58cc-9550-2d90ad4b347c,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
Westford Florist,WESTFORD,1886,PRINCETON WESTFORD,"500 Princeton Way, Westford, MA 01886, USA",70.59,a403a5d7-f5cc-5842-8d51-d9c62455d5dd,d78970d7-b4bd-4cec-a56b-3028526861c6
Riley Funeral Home Inc.,BOSTON,2121,SWAN FUNERAL HOME,"1224 Boston Post Rd, Old Saybrook, CT 06475, USA",70.0,9e411a0a-9268-5ff9-82a1-5d62cbfd4848,3e4b1d07-87f7-4aa1-a8b7-64bad1fa3df8
MANTZ CONSTRUCTION LLC,FAIRFIELD,6824,GARY SMITH CONSTRUCTION,"1218 Fairfield Rd, Fairfield, VT 05455, USA",71.11,57f3d341-783f-5916-bb92-e1fa65a9549b,5d20777f-ca0f-44ef-928d-c3c9f2fe3f19
River Road Veterinary Hospital LLC,Orrington,4474,LITCHFIELD VETERINARY HOSPITAL,"289 Torrington Rd, Litchfield, CT 06759, USA",78.12,ab4a7c64-b7d4-51b5-8981-bd694296cdfa,dd9d0afe-9149-4c44-bc57-644ee3634ceb
Boston Motor Werks LLC,BELMONT,2478,BELMONT MOTOR WORKS LLC,"176 Yale Rd North, Belmont, VT 05730, USA",80.0,7acec5fd-c0ff-5458-8c7e-b5346194fade,0c9b23da-6d68-474b-992d-a146b81194dc
Keene Medical Products Inc.,LEBANON,3766,KEENE MEDICAL PRODUCTS (LEBANON),"240 Meriden Rd, Lebanon, NH 03766, USA",81.36,c2c59eb1-fb26-5cd4-a2ef-49398cf6ed9a,97503609-79a7-4408-8fdc-d7332f9cd38a
Markantonis Enterprises Inc.,BELMONT,2478,"TOTMAN ENTERPRISES, INC.","369 Augusta Rd, Belmont, ME 04952, USA",76.92,a61b74c0-0609-5a20-aa82-c22db454b07a,524fe530-a3ac-4989-a760-05bc7e1f1b2d
WESTERN MAINE NURSERIES INC.,FRYEBURG,4037,WESTERN MAINE TIMBERLANDS INC.,"278 Mc Neil Rd, Fryeburg, ME 04037, USA",75.86,1c91038f-85a2-5b28-bdaa-6e593e1f8355,2307b476-9e77-4ed6-a560-c8953d66385b
MURPHY CONSTRUCTION,STONEHAM,2180,DTP CONSTRUCTION INC,"1391 Av. Tewkesbury, Stoneham-et-Tewkesbury, QC G3C 3A7, Canada",71.79,a23fde7a-8ef5-5e0b-a207-6d4b380e8ea4,d9c7747d-d0a8-413d-a87b-7c7684b0e689
Three Ponds Auto LLC,Milton,3851,THREE PONDS AUTOMOTIVE,"254 White Mountain Hwy, Milton, NH 03851, USA",76.19,b69f8c2e-77bd-5492-9657-bd15861dd9f9,3931b5b6-640a-4ad3-b110-f4581e71f3ec
Southcoast Transportation Inc.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",74.51,4d1046da-6a28-5b8c-905b-91847438b33a,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
Brenner Facility Services LLC,SALEM,1970,FIDELITY BROKERAGE SERVICES LLC,"900 Salem St, Smithfield, RI 02917, USA",80.0,887c289e-01c8-58dd-9d20-0100595d4935,ecb35596-72ce-4ebf-9573-b243c9f2ee72
Ground Effects Landscape and Masonry,FRANKLIN,3235,"GROUND EFFECTS LANDSCAPE,HARDSCAPE,MASONRY","493 Salisbury Rd, Franklin, NH 03235, USA",79.49,00032abb-f361-5048-ba2d-3cfb4fdbf085,d50681c0-bff9-474f-b1c1-9a5a6930480a
STASHIS PROPERTY MAINTENANCE LLC,LITCHFIELD,3052,"SUNRISE LANDSCAPE AND PROPERTY MAINTENANCE, LLC","1200 Litchfield Rd, Norfolk, CT 06058, USA",70.89,3792f7a4-40d6-5de2-b48f-99db2ceb914d,ac872704-df13-480c-928f-8c2f2a50a969
STASHIS PROPERTY MAINTENANCE LLC,LITCHFIELD,3052,"SUNRISE LANDSCAPE AND PROPERTY MAINTENANCE, LLC","1200 Litchfield Rd, Norfolk, CT 06058, USA",70.89,ec84540e-3b71-5024-a2ad-be90c59ed7db,ac872704-df13-480c-928f-8c2f2a50a969
Ventech Industries Inc,ELIOT,3903,"PIKE INDUSTRIES, INC.","1080 Dow Hwy A, Eliot, ME 03903, USA",74.42,7612006d-b192-5954-a956-b49f85d38d26,7cd2b8a3-0e98-4720-bafb-1a50f0a76535
Colleen LaRochelle,HINSDALE,1235,LAROCHELLE AUTO,"970 Middlefield Rd, Hinsdale, MA 01235, USA",72.73,3c5deaa7-1efc-5a3a-8e20-5b799a1ca991,ccbb7392-4f20-42ca-8dfc-e8ce340321ac
OSTERVILLE MARKET PARTNERS INC.,OSTERVILLE,2655,OSTERVILLE PRIMARY CARE,"770 Main St, Osterville, MA 02655, USA",70.37,6daa04d2-527a-575e-803e-a49b3826a79b,f2a041ec-e60b-439e-8ddd-4a178966bb2a
Ace Hardware,EASTHAM,2642,AUBUCHON ACE HARDWARE,"168 Northampton St Rear, Easthampton, MA 01027, USA",72.73,c427f6a2-4183-5518-8e1f-819a9b656809,ffe6e7db-8189-4bea-95a4-3a0cc955b57f
VAILLANCOURT TRANSPORT LLC,ENOSBURG FALLS,5450,VAILLANCOURT REPAIRS LLC,"2003 Tyler Branch Rd, Enosburg Falls, VT 05450, USA",80.0,51c5f3e2-be5c-5859-a4a4-51a0126949f4,7af95cf4-8832-40de-857e-777c3a6b7089
Subterranean Drilling of Massachusetts,SANDISFIELD,1255,SUBTERRANEAN DRILLING,"4 Smith Rd, Sandisfield, MA 01255, USA",71.19,051eaf76-8bf6-5659-a129-50c8e02d0cc5,9888f5bc-5d42-4598-be78-4682d180e5ea
Subterranean Drilling of Massachusetts,SANDISFIELD,1255,SUBTERRANEAN DRILLING,"4 Smith Rd, Sandisfield, MA 01255, USA",71.19,baac9cd0-24ff-51ec-ac3d-c6a96b464ec1,9888f5bc-5d42-4598-be78-4682d180e5ea
W.F. GRACE CONSTRUCTION LLC,Deerfield,3037,KANON CONSTRUCTION LLC,"194 Mt Delight Rd, Deerfield, NH 03037, USA",73.47,4b7137ab-f0c3-505f-83cc-3db000e031ba,e229e78c-6363-4e63-8ebf-0b884bec1fbb
YOU GOOD CONSTRUCTION LLC,ANDOVER,1810,HILL CONSTRUCTION GROUP INC.,"1129 Middletown Rd, Andover, VT 05143, USA",71.7,a701fb92-f7dc-5fda-9c3e-7bfdb3599b0e,0a46c388-4481-488d-b6f9-9252a2124ff2
Community Landscape Company,WOLFEBORO,3894,COMMUNITY LANDSCAPE CO,"1435 Center St, Wolfeboro, NH 03894, USA",77.55,10936d56-e4e2-5bcc-9cb5-a16bd0458d4f,e4b83587-39bd-4cd7-a921-015071add334
Double Down Enterprises LLC,DURHAM,3824,BOSCO NH ENTERPRISES LLC,"237 Kings Hwy, New Durham, NH 03855, USA",70.59,771179b4-4dd4-5920-8627-6a613c146668,7c40b291-cc75-45c8-867f-27f6a76583ab
Salt Pump Climbing Center LLC,SCARBOROUGH,4074,SALT PUMP CLIMBING COMPANY,"36 Haigis Pkwy, Scarborough, ME 04074, USA",72.73,55a4b24e-90b4-5eb9-8014-b114f9443df5,f7187dc2-fba9-4c27-ab8e-949997094b93
Johnson Trucking,PITTSFIELD,1201,J W TRUCKING,"951 Main St, Pittsfield, ME 04967, USA",71.43,9462971c-800f-5d32-a25c-569108730ad3,d564043e-3c79-430f-8f49-223c11e9fa23
Johnson Trucking,PITTSFIELD,1201,J W TRUCKING,"951 Main St, Pittsfield, ME 04967, USA",71.43,3abc924a-ede8-52c8-9677-5c321a436794,d564043e-3c79-430f-8f49-223c11e9fa23
Andover Audio LLC,Andover,1845,ANDOVER LANDSCAPING LLC,"5 Hendee Rd, Andover, CT 06232, USA",75.0,cbf71091-baf0-5ef9-b649-016419f1d559,590d90b5-83bf-4c33-b7cd-ea9a6fa54f6f
A.C. Parsons Landscaping & Garden Center,BERNARD,4612,A C PARSONS LANDSCAPING,"71 Richtown Rd, Bernard, ME 04612, USA",73.02,127a6681-ec7a-5cb7-b53c-6b50078a86f5,964cd387-6416-4e35-8778-59c9f0ffb884
Pace Motor Lines Inc & Subsidiary,STRATFORD,6615,PACE MOTOR LINES INC,"1425 Honeyspot Road Ext, Stratford, CT 06615, USA",75.47,093c674c-da6c-59b0-939f-473ecda3268a,d4b14a1c-455c-417d-86b1-8dde9efba3b7
NORTHEAST FARM SALES & SERVICE INC,IRASBURG,5845,NORTHEAST FARM SERVICE,"4501 US-5, Irasburg, VT 05845, USA",78.57,45652d84-2c13-5acf-be7e-79997c8b64bf,9d89983c-fd5e-4fbb-8ac2-a60f1419c54a
Southcoast Transportation Inc.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",74.51,f5126854-e036-5244-bcea-fc06c34985e8,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
Southcoast Transportation Inc.,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",74.51,bf90e4e6-359f-59d5-ac2d-99115ef1d264,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
Nichols Self Storage,LIVERMORE,4253,LIVERMORE SELF STORAGE,"Robinson Rd, Livermore, ME 04253, USA",71.43,c884dbf3-7639-5d9b-90af-35115eccd854,ebd94187-27e1-4006-b9c2-7905da755990
Nickwacket Garage,PITTSFORD,5763,NICKWACKETT,"4814 Old Rte 7, Pittsford, VT 05763, USA",71.43,952f21e0-6120-58fa-b79d-e7b77f83875b,3af542d2-b4cd-4f9b-ac9c-5b0b8e6a4830
Zander Corporation,MIDDLEBORO,2346,FEENEY CORPORATION,"426 Wareham St, Middleborough, MA 02346, USA",77.78,39b43ef7-611a-5ad1-bf58-8718eb8088d0,73cf19e4-b441-40d6-9ddd-d54768ce4594
Fairfields Women's Health Center LLC,Fairfield,6824,FORT FAIRFIELD HEALTH CENTER,"23 High St, Fort Fairfield, ME 04742, USA",71.88,f67a8370-fd0d-54e9-99d8-50e254b83651,7ffde6e1-7abb-4277-b22a-20471fb06b6d
Fairfield Women's Health Center LLC,Fairfield,6824,FORT FAIRFIELD HEALTH CENTER,"23 High St, Fort Fairfield, ME 04742, USA",73.02,9a6b7494-84bb-5094-ba79-252efc92f97f,7ffde6e1-7abb-4277-b22a-20471fb06b6d
NEW LONDON HOSPITALITY LLC,NEW LONDON,6320,NEW LONDON HOSPITAL,"273 County Rd, New London, NH 03257, USA",84.44,4b11dbaa-8802-596e-b996-7e133c605837,209686a3-5bba-4e1e-b9b6-d3be4d460c1e
B FAIRFIELDLLC,FAIRFIELD,6824,ROCK CLIMB FAIRFIELD,"85 Mill Plain Rd building t, Fairfield, CT 06824, USA",70.59,b426adb7-ecee-5848-8835-15e95675b8e4,eb06f05f-4d36-4113-b5d1-28b008029a18
ATCK FITNESS HANOVER INC,Hanover,2339,PICKUP USA FITNESS HANOVER,"285 Circuit St, Hanover, MA 02339, USA",72.0,bf9175e0-c7b3-5e3c-a410-3aaeb4314b91,853e62ce-233c-45ef-87ec-686afa07cc2c
York Woods Tree Service LLC,ELIOT,3903,YORK WOODS TREE & PRODUCTS,"300 ME-236, Eliot, ME 03903, USA",71.7,0c0b1505-0c5d-5756-9498-e15848183f6d,4aaca6a8-895b-48ee-aeb3-9e0b2ea0018c
Trio Construction Inc.,RAYMOND,3077,UBORA CONSTRUCTION,"1867 Rte de Chute Panet, Saint-Raymond, QC G3L 4P8, Canada",70.0,31cec11d-9b46-53f8-9c74-5a7e573d905c,2c3c6950-278b-44bc-a607-8af4ec53da24
G. Drake Masonry Inc.,DIXMONT,4932,G DRAKE MASONRY,"441 Western Ave, Dixmont, ME 04932, USA",83.33,1c1a44f1-77ab-5c47-9ddb-61d8449f7f20,16446191-a788-4490-beae-edd13906b512
Pine Tree Lock and Key LLC,DURHAM,4222,PINE TREE LOCK & KEY,"340 Pinkham Brook Rd, Durham, ME 04222, USA",82.61,48ace9fc-d77d-51c3-a032-d5c7dd189e2d,c8c27034-1c6d-41b9-89ac-0938d4a88f90
Gesner Auto Inc,TAUNTON,2780,GESNER AUTO,"445 Winthrop St, Taunton, MA 02780, USA",84.62,143081f8-02cc-5888-bc0a-97998ea90d13,4614e7c5-0c6d-4e96-8d53-1584aff1fadb
Curley Associates,Sanford,4073,ASSOCIATED EYECARE,"272 Cottage St, Sanford, ME 04073, USA",74.29,d65572e5-bdc3-56f8-a5e2-ee0af20e4ec8,3480e191-049b-4686-9f04-227221ea708f
Multy Builders LLC.,WEYBRIDGE,5753,MULTY BUILDERS,"3398 Quaker Village Rd, Weybridge, VT 05753, USA",84.85,d7727c8b-9bd3-5332-876e-2834fba31676,ab1de865-19f2-408c-b4aa-09ac7d4f957a
Multy Builders LLC.,WEYBRIDGE,5753,MULTY BUILDERS,"3398 Quaker Village Rd, Weybridge, VT 05753, USA",84.85,a4bd0999-e9c8-5b54-8476-5ccf041ea25a,ab1de865-19f2-408c-b4aa-09ac7d4f957a
Cotone Family Chiropractic LLC,Readfield,4355,COTONE FAMILY CHIROPRACTIC - DR JENN COTONE,"11 S Rd, Readfield, ME 04355, USA",73.97,9ff9d5f4-d2b9-588c-81c2-901aac09324f,4a897387-f6a3-4360-a9a7-ef3dfd58ad17
RAPOSO'S CONSTRUCTION INC,TAUNTON,2780,G LOPES CONSTRUCTION INC,"565 Winthrop St, Taunton, MA 02780, USA",77.55,b502b317-a1a2-5b49-aaa0-cdca76efdd5e,9ee2f4c8-c83e-4096-a607-8c8541d97e39
Astor Transportation LLC,TAUNTON,2780,RICHS TRANSPORTATION,"305 Myles Standish Blvd, Taunton, MA 02780, USA",75.56,ab50a5d6-1401-5410-9658-dde9559ca010,7b72ffbc-6669-4e5a-9f7f-986a8af9c2da
Milford Swim School Corporation,Milford,1757,GOLDFISH SWIM SCHOOL - MILFORD,"350 E Main St, Milford, MA 01757, USA",72.13,e5a0385e-c825-57d0-b29a-2cd1f7a8d7a2,739e1e62-4566-4711-af03-633f4351240a
CENTRIC DESIGN LLC,ANDOVER,1810,"CLINE DESIGN, LLC","42 Shaw Hill Rd, Andover, NH 03216, USA",74.29,12061791-3d4c-5707-9799-3a884343db05,c74bbff0-af9c-4bf8-9ae5-21fd631afa11
DeCamp Plumbing & Heating LLC,PUTNEY,5346,LOWE'S PLUMBING & HEATING,"45 Lower Trail, Putney, VT 05346, USA",74.07,a6783b5c-6ac0-54ee-9f1f-953f4c3259bf,d92201f8-ed9b-458c-bf60-48e01314120f
ALPHABET ACADEMY LLC,HAMDEN,6514,"ALPHABET ACADEMY, SOUTH CAMPUS","605 Benham St, Hamden, CT 06514, USA",72.0,9c8cda80-1274-534e-8f9f-ca74568192f0,fdd9fd14-544f-475b-8d6d-c24677d91d21
The Collective Studios LLC,LONDONDERRY,3053,COLLECTIVE STUDIOS,"4 Orchard View Dr Unit 7, Londonderry, NH 03053, USA",81.82,ea87a0d0-ae1f-5a61-ba32-37830b03aa23,36727f4d-080b-4f7b-bff7-773a2d44e321
PFL & Associates LLC,RUTLAND,5701,S D ASSOCIATES,"202 Scotts Rd, West Rutland, VT 05777, USA",70.59,c760992c-5941-5209-b268-a2627345c50a,618560d2-39b6-4c4d-bcc3-22acca4ffcb0
Make A Difference Landscaping LLC,LEE,3861,THE DIFFERENCE LANDSCAPES,"459 Calef Hwy, Lee, NH 03861, USA",72.41,9fc39aa1-3cc9-524f-b33a-02a02efaecbc,a8d6020b-408a-4e06-8226-85e795fc33d1
Salmon Falls Nursery Inc,Berwick,3901,SALMON FALLS NURSERY & LANDSCAPING,"511 Portland St, Berwick, ME 03901, USA",79.31,e590c70b-71dd-53f5-b63d-28ecafa07aaf,2f9bf919-b73f-47e3-a2b7-8fd95f2df7d5
Andover Learning LLC,ANDOVER,1810,ANDOVER LANDSCAPING LLC,"5 Hendee Rd, Andover, CT 06232, USA",83.72,e2793afc-9fef-5a92-88c9-78741d5fd01f,590d90b5-83bf-4c33-b7cd-ea9a6fa54f6f
TOP TIER PLUMBING & HEATING LLC,Middleboro,2346,TDM PLUMBING & HEATING,"25 Charmark Cir, Middleborough, MA 02346, USA",75.47,b213c616-ac5f-51e0-a4ff-25b286adaf19,acc859b3-c270-41d3-a82b-2093c16f8148
MENT LAW GROUP PC,HARTFORD,6103,PEET LAW GROUP,"3533 Woodstock Rd, Hartford, VT 05001, USA",77.42,bbf4c87b-c87d-517f-8509-9da8d04dbd73,b240da32-4895-4242-b7b7-228dbd5e3336
MiVillage LLC,Holliston,1746,MIVILLAGE,"120 Jeffrey Ave, Holliston, MA 01746, USA",81.82,15975e4a-82c1-5d64-a65f-554680fd992b,54c952d0-c910-4595-8e29-b875bdf75bcc
Life Medi Spa PLLC,Meredith,3253,LIFE MEDI SPA,"3 Winona Rd #1B, Meredith, NH 03253, USA",83.87,9cc76fbe-5d80-59a6-a72a-1b4df7014035,5daa8df1-161e-4514-b6ee-5872d8e606ca
Wally's Landscaping Inc,HUDSON,1749,DESIGN WORKS LANDSCAPING,"125 Wason Rd, Hudson, NH 03051, USA",72.34,1f33273b-4e25-550f-a4bd-9b97c3832723,5fc8a848-88c7-464d-998c-2a7dbaa6e589
PRONTO PLUMBING HEATING INC,BETHEL,6801,WALKER PLUMBING & HEATING LLC,"1815 River St Ext, Bethel, VT 05032, USA",71.43,b1140526-c950-5e71-a9ae-9ff29662d020,8a83609f-19a5-4f55-96c8-c967b9e0f63d
S&R Brookfield LLC,BROOKFIELD,6804,WEST BROOKFIELD DENTAL,"9 W Main St, West Brookfield, MA 01585, USA",70.0,0775342f-e1d5-528d-8253-4984cbc02a00,3e5e91ca-ff40-4f07-aec5-37e13a661c58
S & P Wholesale Inc,ATTLEBORO,2703,C & S WHOLESALE GROCERS INC,"47 Old Ferry Rd, Brattleboro, VT 05301, USA",73.91,cce428f7-771a-5260-aac2-d135e285d9d7,eb474ba0-c96e-4fa0-b258-334747eeed73
JM Killingly LLC,DAYVILLE,6241,KILLINGLY FENCES LLC,"19 Chestnut Hill Rd, Dayville, CT 06241, USA",77.78,2a0d2da1-869d-52be-a71f-c15a55e30f66,0bf9fb02-f1e5-4c41-a1b9-52ac31b759b7
RT'S CONSTRUCTION,NEW MILFORD,6776,HEATON CONSTRUCTION,"376 Long Mountain Rd, New Milford, CT 06776, USA",77.78,ff49513d-9141-5c0f-a581-df75946307dc,81483214-0a1f-43d5-85d0-079def564e52
D. M. Hock Enterprises LLC,TORRINGTON,6790,"TWIN FORK ENTERPRISES, LLC","879 Pothier Rd, Torrington, CT 06790, USA",73.08,d42e544f-2949-599f-baa9-c7ff0a58fd7f,95721e90-7bcd-4be6-8abc-33bfe4d01b1d
